wid,age,country,gender,marital,parenthood
1,37.0,USA,m,married,y
2,29.0,IND,m,married,y
3,25,IND,m,single,n
4,32,USA,m,married,y
5,29,USA,m,married,y
6,35,IND,m,married,y
7,34,USA,m,married,y
8,29,VNM,m,single,n
9,61,USA,f,married,y
10,27,USA,m,single,n
11,45.0,USA,m,divorced,n
12,25,USA,f,single,n
13,45.0,IND,m,married,y
14,25.0,IND,m,married,y
15,27,USA,m,married,y
16,35.0,USA,m,single,n
17,30.0,USA,m,single,n
18,30,USA,m,single,n
19,29,USA,m,married,n
20,40,USA,m,married,y
21,29.0,IND,m,single,y
22,32,USA,m,single,n
23,27,IND,m,single,n
24,35,IND,f,single,n
25,32.0,IND,m,married,y
26,31.0,IND,f,married,y
27,28,USA,m,married,y
28,36.0,USA,m,married,y
29,44,USA,m,single,n
30,37.0,USA,m,married,y
31,31,USA,f,married,n
32,45.0,IND,f,married,y
33,44,THA,m,married,y
34,23,USA,m,single,n
35,26,IND,m,single,n
36,37,USA,m,single,n
37,23,USA,m,single,n
38,26,GBR,m,single,y
39,36,IND,m,married,y
40,28,IND,m,single,n
41,26,SRB,m,single,n
42,32.0,USA,m,single,n
43,36,USA,m,married,y
44,42.0,USA,f,single,n
45,23,IND,m,single,n
46,29,USA,m,single,n
47,41,USA,m,married,n
48,57.0,USA,f,married,n
49,35,USA,m,married,n
50,30,IND,m,single,y
51,30,IND,m,single,n
52,29,IND,m,married,y
53,32,USA,m,married,y
54,29,IND,f,married,y
55,26.0,IND,m,married,y
56,24,IND,f,single,n
57,34,USA,m,single,n
58,38.0,USA,m,married,n
59,43.0,USA,m,single,n
60,29,USA,m,single,n
61,29,IND,m,single,n
62,3,IND,m,single,n
63,25,USA,m,single,n
64,48,USA,f,married,y
65,30,IND,m,single,n
66,41,USA,f,single,n
67,44,USA,m,married,y
68,37.0,USA,m,single,y
69,23,USA,m,married,y
70,28,IND,f,married,y
71,26.0,IND,m,single,y
72,25,BGR,m,single,y
73,38.0,USA,f,married,y
74,27,IND,f,married,y
75,25,IND,m,married,y
76,29,IND,m,married,y
77,29,USA,m,single,n
78,28,USA,f,married,y
79,27,IND,m,single,n
80,23,USA,o,single,n
81,30,IND,m,single,y
82,53,USA,f,single,n
83,30,USA,m,single,n
84,32.0,USA,m,married,y
85,23,IND,f,single,n
86,27,USA,m,single,n
87,36,USA,f,single,n
88,46,USA,f,married,y
89,36,USA,f,single,n
90,32,USA,m,married,y
91,29,USA,m,single,n
92,54,USA,f,married,y
93,35,USA,m,single,y
94,28,USA,m,single,n
95,37,USA,m,married,y
96,28,IND,f,married,y
97,29,USA,m,single,n
98,34.0,USA,m,married,y
99,38,USA,m,single,n
100,34,USA,m,married,y
101,29,IND,m,married,y
102,27,IND,f,married,y
103,26,USA,f,single,y
104,25.0,GBR,m,married,n
105,34,USA,m,divorced,y
106,44,USA,f,married,y
107,37,USA,m,single,y
108,26,USA,m,single,n
109,65,USA,m,married,y
110,25,IND,m,single,y
111,35.0,USA,o,single,y
112,48.0,USA,f,married,y
113,59,USA,f,single,n
114,34,USA,m,married,y
115,25,BRA,m,single,n
116,27,IND,f,single,n
117,22.0,USA,m,single,n
118,34,USA,f,single,n
119,47,IND,m,married,y
120,25,BGD,m,single,n
121,57,USA,f,divorced,y
122,32,USA,m,single,n
123,29,USA,m,single,n
124,28,USA,m,single,n
125,39,USA,o,married,y
126,34,USA,m,married,y
127,21,USA,m,single,n
128,25,USA,f,single,n
129,25,USA,m,single,n
130,33,USA,f,married,y
131,32,USA,m,single,n
132,30,IND,f,married,y
133,40,USA,m,single,n
134,37,USA,f,single,n
135,23,CAN,m,single,n
136,30.0,IND,m,married,y
137,28.0,USA,m,divorced,n
138,30,IND,m,married,y
139,30.0,USA,m,married,y
140,33,PRT,m,married,n
141,35.0,USA,m,single,n
142,55,IND,m,married,y
143,29.0,USA,m,married,y
144,25,IND,m,single,n
145,29,USA,f,single,n
146,25,IND,m,single,n
147,31,USA,m,single,n
148,40,USA,f,married,y
149,45,IND,m,married,y
150,69,USA,m,married,y
151,28,USA,m,single,n
152,30.0,USA,m,married,y
153,55,USA,f,married,y
154,32,USA,f,married,n
155,28,IND,f,married,n
156,47.0,USA,f,married,n
157,33,IND,m,married,n
158,30,IND,m,single,n
159,29,PHL,m,single,n
160,37,USA,m,married,y
161,53,USA,f,married,y
162,23.0,USA,m,single,n
163,30.0,IND,m,single,n
164,27,IND,m,married,n
165,30,USA,m,married,y
166,54,USA,f,single,n
167,34,USA,m,single,n
168,28,USA,m,single,n
169,29,USA,f,single,n
170,68,USA,f,separated,y
171,31,USA,m,married,n
172,27,IND,m,married,n
173,55,IND,f,married,y
174,31,USA,m,married,y
175,20,VEN,m,single,n
176,26.0,USA,f,married,y
177,25.0,USA,m,single,n
178,38,USA,m,married,y
179,22,USA,m,single,y
180,35,USA,m,single,n
181,44.0,USA,m,married,y
182,28,IND,m,married,n
183,30,MKD,m,single,n
184,49,USA,f,married,y
185,36,USA,m,single,n
186,44,USA,m,single,y
187,25.0,IND,m,single,n
188,26,IND,m,married,y
189,33,USA,m,married,y
190,23,USA,m,single,n
191,28,IND,f,married,n
192,28,IND,m,married,y
193,28.0,USA,m,single,n
194,26,USA,f,single,n
195,30,USA,m,single,n
196,30,USA,f,married,y
197,24,USA,m,single,n
198,38,USA,f,divorced,y
199,31,USA,f,single,n
200,35,DOM,m,married,n
201,34,IND,m,married,y
202,24.0,USA,m,single,n
203,26.0,USA,m,single,n
204,30,USA,f,single,n
205,54,USA,f,married,y
206,28,DNK,f,married,n
207,42,USA,m,married,n
208,45.0,USA,f,single,n
209,28.0,USA,m,single,n
210,26,USA,m,single,n
211,27,USA,m,single,n
212,24,USA,m,single,n
213,30,USA,f,married,y
214,22,IND,f,single,n
215,26,IND,m,married,n
216,27,IND,m,married,n
217,44,USA,f,single,y
218,34,IND,f,married,y
219,33,USA,m,married,y
220,22.0,USA,m,single,n
221,31,IND,m,married,y
222,26,IND,f,single,n
223,28,IND,m,married,y
224,31,IND,m,married,y
225,25,USA,m,single,n
226,32.0,USA,f,single,n
227,37,IND,f,married,n
228,24,IND,m,single,n
229,35,USA,f,single,n
230,34,USA,m,single,n
231,39.0,USA,f,single,y
232,26.0,IND,f,married,y
233,26.0,USA,m,single,n
234,25.0,USA,m,single,n
235,27.0,IND,m,single,n
236,24,IND,f,single,n
237,27,IND,m,married,n
238,33,VEN,m,married,y
239,34,IND,m,married,y
240,30,USA,m,single,n
241,24,USA,f,single,y
242,34,USA,f,married,n
243,26.0,USA,m,single,n
244,31,USA,f,married,y
245,33.0,USA,f,married,y
246,29,USA,m,divorced,n
247,21,USA,m,single,n
248,30.0,USA,m,married,n
249,26,IND,f,married,y
250,43,USA,f,married,y
251,22,USA,m,single,n
252,56,USA,f,single,n
253,32.0,USA,m,single,n
254,29,USA,m,single,n
255,24,USA,m,single,n
256,25,USA,m,married,n
257,27,IND,f,single,n
258,36,USA,m,single,n
259,30,IND,m,single,n
260,32,USA,m,married,y
261,25,IND,f,married,y
262,26,USA,f,single,n
263,22,VEN,m,single,y
264,33.0,IDN,m,divorced,n
265,37,USA,f,married,y
266,32,IND,f,married,y
267,29,USA,m,married,n
268,32,IND,f,married,y
269,28,USA,m,single,n
270,23,USA,m,married,n
271,36.0,USA,m,married,y
272,28,USA,f,single,y
273,46.0,USA,f,widowed,n
274,32.0,USA,f,single,n
275,38,USA,m,single,n
276,68,USA,m,married,y
277,31,USA,m,single,n
278,30.0,USA,m,single,n
279,27,USA,f,single,n
280,33,IND,m,married,y
281,25.0,USA,m,single,n
282,24,IND,f,single,n
283,38,USA,f,married,y
284,34,USA,m,single,n
285,43,USA,m,single,n
286,24.0,USA,m,single,n
287,35.0,USA,m,single,y
288,23,IND,f,married,y
289,31,IND,m,single,n
290,62,USA,f,married,y
291,70,USA,m,married,y
292,25,IND,m,single,y
293,23,USA,m,single,n
294,21,IND,f,single,n
295,34,USA,m,single,n
296,24,USA,f,single,n
297,54,USA,f,married,y
298,26.0,USA,f,single,n
299,25,IND,m,married,y
300,33,USA,m,married,y
301,41.0,USA,f,married,y
302,25,USA,m,single,n
303,27,USA,f,single,n
304,22,IND,f,single,n
305,31.0,USA,m,single,n
306,37,USA,f,single,n
307,22,IND,f,single,n
308,23.0,USA,f,single,n
309,24,USA,m,single,n
310,83,USA,m,married,y
311,27,USA,m,single,n
312,44.0,USA,m,married,y
313,22,IND,f,single,n
314,33,USA,m,married,n
315,74,USA,f,married,y
316,21.0,USA,m,single,n
317,prefer not to say,USA,m,single,n
318,44,USA,f,divorced,y
319,41,USA,m,married,y
320,39.0,USA,m,single,n
321,23,IND,f,married,n
322,25,IND,m,single,n
323,29,USA,m,married,n
324,26,IND,m,single,n
325,34,USA,m,single,n
326,36,USA,m,single,n
327,37.0,USA,f,separated,y
328,40,USA,m,married,y
329,30.0,USA,o,married,y
330,51,USA,m,divorced,y
331,61,USA,f,married,n
332,31,USA,m,married,y
333,27.0,USA,m,single,n
334,23,USA,f,single,n
335,22,IND,f,single,n
336,38,USA,f,divorced,y
337,31.0,USA,m,divorced,n
338,38,USA,f,single,n
339,32,USA,m,single,n
340,43,USA,f,married,y
341,29,IND,f,married,y
342,32,USA,f,single,n
343,38,USA,m,married,y
344,21,IND,f,single,n
345,41,USA,m,married,y
346,23,IND,f,single,n
347,40,IND,f,married,y
348,22,IND,f,single,n
349,24,USA,m,single,n
350,36.0,USA,m,married,y
351,37,USA,m,single,n
352,23,IND,f,single,n
353,29.0,USA,m,single,n
354,26.0,USA,m,single,n
355,27,IND,m,married,y
356,25.0,IND,m,single,n
357,26,USA,m,married,n
358,22,IND,f,single,n
359,40.0,USA,f,married,y
360,31,USA,m,married,y
361,31,USA,m,single,n
362,25,IND,f,single,n
363,29,IND,f,married,n
364,26,IND,f,single,n
365,30,USA,m,married,y
366,34,USA,f,married,y
367,21.0,USA,m,single,n
368,38,IND,f,married,y
369,37,USA,m,single,n
370,21,USA,m,single,y
371,29.0,USA,m,single,n
372,19,USA,m,single,n
373,26,USA,f,single,n
374,40,USA,m,single,n
375,30,USA,f,married,y
376,23,CAN,f,single,n
377,36,IND,m,married,y
378,22,IND,f,single,n
379,52.0,USA,m,single,n
380,26.0,USA,m,single,n
381,27,USA,f,married,y
382,32,USA,m,single,n
383,66,USA,m,married,y
384,38,USA,f,single,n
385,25,USA,f,single,n
386,25,IND,f,single,n
387,33,USA,m,single,n
388,30,USA,m,single,n
389,61,USA,f,married,y
390,31.0,USA,m,single,n
391,36,USA,m,married,n
392,49,USA,f,married,y
393,41,USA,f,married,y
394,24.0,USA,m,single,n
395,33.0,USA,m,single,n
396,34,IND,f,married,y
397,26.0,USA,m,single,n
398,29,USA,m,single,n
399,27.0,IND,m,single,n
400,26,IND,m,single,n
401,41,USA,m,single,n
402,26,USA,m,married,n
403,31,USA,m,married,n
404,28,USA,m,single,n
405,27,USA,m,single,y
406,28,USA,f,single,n
407,26,USA,m,single,n
408,31,USA,f,single,n
409,30.0,IND,f,married,y
410,29,USA,f,single,n
411,38.0,USA,m,married,y
412,25,IND,f,married,y
413,29,USA,m,married,y
414,29,USA,m,single,n
415,23,USA,m,single,n
416,29,IND,f,married,y
417,25.0,USA,m,single,n
418,36,USA,m,married,n
419,40,USA,m,married,y
420,38,IND,f,married,y
421,48,USA,m,married,n
422,26,USA,f,single,n
423,29.0,USA,f,married,n
424,30,USA,o,married,y
425,30.0,USA,f,single,n
426,23,IND,f,single,n
427,37,IND,m,married,y
428,21,USA,m,single,n
429,28.0,VEN,m,single,n
430,26,USA,f,married,y
431,29,USA,m,single,n
432,47,USA,m,married,y
433,26,USA,m,single,n
434,36,USA,f,single,n
435,27,IND,m,single,n
436,30,CAN,f,married,y
437,30.0,USA,m,single,n
438,32.0,IND,m,married,n
439,22.0,IND,m,single,n
440,30,USA,m,single,n
441,29.0,USA,f,married,n
442,32,USA,f,single,n
443,31,USA,f,single,n
444,32.0,USA,m,single,n
445,32,USA,m,single,n
446,40.0,IND,m,married,y
447,55,USA,f,married,y
448,27,IND,f,married,y
449,28.0,AUS,m,married,y
450,39,USA,m,married,n
451,23,USA,m,single,n
452,52,USA,m,married,y
453,44,USA,f,divorced,y
454,30,USA,m,single,n
455,29.0,IND,m,married,y
456,28,USA,f,single,n
457,30,USA,m,single,y
458,34,USA,m,single,n
459,33.0,USA,m,single,n
460,22.0,USA,m,single,n
461,61,USA,f,married,y
462,47,USA,m,married,y
463,49.0,USA,m,married,y
464,25,USA,m,single,n
465,25,IND,m,single,n
466,32,IND,m,married,y
467,54,USA,f,single,n
468,40,USA,m,married,y
469,32,IND,m,married,y
470,33.0,USA,f,married,y
471,53,USA,f,single,n
472,23.0,IND,m,single,n
473,37.0,USA,f,single,y
474,58.0,USA,f,married,y
475,31,IND,f,married,y
476,25,IND,m,single,n
477,29,IND,f,married,y
478,37.0,USA,m,married,y
479,27,USA,f,single,n
480,36,USA,m,single,n
481,49.0,IND,m,married,y
482,28,USA,m,single,n
483,25.0,IND,f,married,y
484,44.0,USA,f,divorced,y
485,28.0,USA,f,single,n
486,34,USA,m,married,y
487,27,USA,o,single,n
488,31,IND,f,married,y
489,39,IND,m,married,y
490,19.0,IND,f,single,n
491,30.0,IND,f,married,y
492,24.0,USA,m,single,n
493,39.0,USA,m,married,y
494,28,USA,f,single,n
495,25.0,USA,m,single,n
496,49,USA,m,single,n
497,26,USA,f,single,n
498,27,IND,m,married,y
499,46,USA,m,single,n
500,24,USA,f,single,n
501,33,USA,m,widowed,y
502,26,IND,m,single,y
503,40,GBR,m,single,n
504,39,USA,m,single,n
505,25,USA,f,single,n
506,40,USA,m,married,y
507,34,IND,m,single,n
508,35,USA,f,married,y
509,31,USA,m,single,n
510,47.0,USA,f,married,n
511,23.0,USA,m,single,n
512,23,USA,m,single,n
513,41.0,USA,m,married,y
514,62,URY,m,single,n
515,34,USA,m,married,y
516,29,USA,m,single,y
517,42,USA,m,single,n
518,24.0,USA,m,single,n
519,32.0,USA,f,single,n
520,57.0,USA,m,married,y
521,42,USA,f,married,y
522,28,USA,m,married,n
523,22.0,USA,m,single,n
524,42.0,USA,m,married,y
525,52,USA,m,married,y
526,22,USA,m,single,n
527,35,USA,f,married,y
528,29.0,USA,f,married,y
529,31.0,IND,m,married,y
530,56,USA,f,married,y
531,29,USA,m,married,n
532,233.0,USA,f,married,y
533,51,USA,f,single,n
534,51.0,USA,f,married,n
535,22.0,IND,f,single,n
536,34.0,USA,f,married,y
537,24,USA,m,single,n
538,24.0,IND,f,married,y
539,20.0,IND,f,single,n
540,21,USA,m,single,n
541,30,USA,m,married,n
542,52,USA,f,married,y
543,21,USA,f,single,n
544,35,IND,m,single,n
545,27,USA,f,single,y
546,48,USA,m,single,n
547,28,USA,f,single,n
548,26,USA,f,single,n
549,30,USA,o,married,y
550,33.0,USA,f,single,n
551,29,USA,m,single,n
552,36.0,USA,f,married,y
553,32,IND,m,married,y
554,29,USA,m,single,n
555,30,IND,m,married,y
556,38,USA,f,single,n
557,32.0,USA,m,single,n
558,28.0,USA,m,single,n
559,28,IND,m,single,n
560,33,IND,m,married,y
561,21,USA,m,single,n
562,29,USA,f,married,n
563,41,USA,m,divorced,n
564,22,USA,f,married,n
565,29,USA,f,single,n
566,28,IND,f,married,y
567,35,USA,m,married,n
568,25,USA,m,single,y
569,24.0,IND,m,married,y
570,19.0,IND,m,single,n
571,31,USA,f,single,n
572,52.0,USA,m,married,n
573,25.0,USA,m,single,n
574,31.0,USA,m,married,n
575,27,USA,m,single,n
576,38,USA,f,married,y
577,33,USA,f,married,n
578,24,IND,m,single,n
579,26.0,USA,m,single,n
580,28.0,IND,m,married,y
581,26,USA,f,single,n
582,35.0,USA,m,single,n
583,25.0,USA,m,single,n
584,39,USA,f,married,y
585,18,JAM,f,single,n
586,28,IND,f,single,y
587,31,USA,f,married,y
588,34,IND,m,married,y
589,30.0,USA,m,single,n
590,34,USA,f,single,n
591,24,USA,f,single,n
592,34,USA,m,single,n
593,48.0,USA,f,married,y
594,33,USA,m,married,n
595,35,IND,f,married,y
596,29,USA,f,married,n
597,24,USA,m,married,y
598,23,USA,f,single,n
599,43,USA,f,married,y
600,41.0,IND,f,married,y
601,32,USA,m,divorced,y
602,53,IND,f,married,y
603,34.0,USA,m,married,y
604,26,USA,m,married,y
605,28,IND,m,married,y
606,28.0,IND,m,married,y
607,27.0,USA,m,single,n
608,24,IND,m,single,n
609,26,USA,m,single,n
610,35.0,IND,f,married,y
611,26,USA,f,single,n
612,28,IND,m,married,y
613,32,IND,f,married,y
614,60,USA,m,married,y
615,31,IND,m,married,y
616,32,USA,f,married,y
617,43.0,USA,m,married,y
618,32.0,USA,m,single,n
619,22,USA,m,married,n
620,25,VEN,m,single,n
621,20.0,USA,o,single,n
622,36,USA,m,single,n
623,39,USA,m,married,n
624,34,USA,m,single,n
625,41,USA,f,married,y
626,50.0,USA,m,married,y
627,30.0,USA,m,married,n
628,54,USA,f,divorced,y
629,24,IND,m,single,y
630,42.0,USA,f,married,y
631,35.0,USA,m,single,n
632,40,IND,m,married,y
633,33.0,USA,m,single,n
634,32,USA,m,single,n
635,28.0,USA,f,single,n
636,24,USA,m,single,n
637,33.0,USA,f,single,n
638,31.0,USA,m,married,n
639,27.0,USA,m,single,n
640,49.0,USA,f,married,y
641,24,USA,m,single,n
642,30,IND,m,married,y
643,31,USA,m,married,y
644,26,USA,m,single,n
645,26,USA,f,married,y
646,28,EGY,m,married,y
647,39,USA,f,married,y
648,24,IND,m,married,n
649,31,USA,m,single,n
650,30,USA,f,married,n
651,35,IND,m,married,y
652,34.0,USA,m,single,n
653,20,IND,m,single,n
654,29,IND,m,single,n
655,24,USA,m,single,n
656,36.0,USA,f,married,n
657,29,USA,m,single,n
658,28,USA,m,single,n
659,30,USA,f,single,y
660,27.0,IND,m,single,n
661,20.0,USA,m,single,n
662,52.0,USA,f,single,n
663,32,USA,m,married,y
664,31,IND,m,single,y
665,72.0,USA,m,married,y
666,22.0,IND,f,single,n
667,26,USA,m,single,n
668,36,USA,m,single,n
669,39,USA,m,single,n
670,36.0,USA,f,married,y
671,34.0,DEU,m,married,y
672,22,USA,f,single,n
673,63.0,USA,f,single,n
674,26,USA,m,single,n
675,38.0,USA,m,married,y
676,35,USA,m,single,n
677,48.0,USA,f,widowed,y
678,28,USA,m,single,n
679,29,USA,m,married,y
680,26,USA,m,married,y
681,29,USA,f,married,y
682,23.0,USA,m,single,n
683,27,USA,m,single,n
684,26.0,USA,m,single,n
685,39,USA,m,married,y
686,45,USA,f,married,y
687,27,USA,m,single,n
688,26,USA,f,divorced,n
689,23.0,IND,f,single,n
690,29,USA,f,single,n
691,20,USA,m,single,n
692,41.0,USA,f,married,y
693,25,USA,f,single,y
694,33,IND,m,married,y
695,41.0,USA,m,married,y
696,35,USA,m,single,n
697,26,USA,m,single,n
698,35,IND,m,married,y
699,21,IND,m,single,n
700,26,PHL,f,single,n
701,30,USA,f,married,n
702,29,USA,m,married,n
703,26,KEN,m,single,n
704,27,USA,m,single,n
705,19,USA,m,single,n
706,45,USA,f,married,n
707,26.0,USA,f,single,n
708,25,USA,m,single,n
709,56,USA,m,married,y
710,34.0,USA,m,married,y
711,36,USA,f,married,y
712,28,IND,m,single,n
713,27.0,USA,m,single,n
714,29,USA,m,single,n
715,21.0,VEN,m,single,n
716,31,IND,f,married,y
717,20,USA,m,single,n
718,32,USA,m,single,n
719,22.0,USA,m,single,n
720,60.0,USA,f,married,y
721,23,IND,f,single,n
722,23.0,USA,m,single,n
723,32,MDA,m,single,n
724,29,IND,f,married,y
725,37,USA,f,married,y
726,25.0,USA,o,single,n
727,28.0,USA,m,single,n
728,36,IRL,f,married,y
729,31,USA,m,married,y
730,26,USA,m,married,n
731,27,IND,f,married,y
732,39,IND,m,married,y
733,25.0,USA,f,married,n
734,32,IND,f,married,y
735,43,USA,m,single,n
736,28.0,USA,m,married,y
737,25,IND,f,single,y
738,32,IND,m,married,y
739,24.0,IND,f,single,n
740,23,IND,m,single,n
741,33,USA,m,single,n
742,25,USA,m,single,n
743,30.0,USA,m,married,y
744,29,USA,m,married,y
745,28,USA,m,married,y
746,25.0,USA,m,single,n
747,30,USA,m,single,n
748,27.0,USA,f,single,n
