hmid,valency,dominance,arousal
31526,6.614,5.84,3.75
37050,5.66315789474,5.46157894737,3.98394736842
46196,5.44,5.364,4.6615
50108,,,
55093,6.19571428571,5.65714285714,4.11857142857
89517,6.569,5.671,4.647
100127,7.34625,6.15125,4.96875
114240,5.93454545455,5.3,4.32272727273
119512,6.17505434783,5.69527173913,4.13505434783
128379,6.275,5.915,3.83416666667
27687,5.94722222222,5.74,4.46833333333
27692,7.11,5.84,4.63142857143
27696,5.95315789474,5.87894736842,4.25
27752,5.62,6.02933333333,4.13133333333
27767,5.38,5.70666666667,4.0
27769,6.795,6.14833333333,4.52333333333
27779,6.448,6.28,4.092
27800,5.92583090379,5.62425655977,3.96279883382
27887,6.26611111111,5.94111111111,4.20777777778
28004,5.53111111111,5.33666666667,4.15333333333
28087,6.37444444444,6.02777777778,4.13388888889
28257,6.28083333333,5.92416666667,4.31583333333
28386,6.41,6.00266666667,4.11266666667
28425,5.705,5.855,3.975
28566,6.39,5.867,3.854
28669,,,
28772,6.32666666667,5.50888888889,4.01888888889
28847,4.61,4.85833333333,4.135
28864,6.4175,6.0825,4.655
29065,6.715,6.0125,5.1025
29426,6.12555555556,5.71333333333,4.43222222222
29532,6.47,5.9575,4.2525
29586,5.40333333333,5.11666666667,3.72
29755,6.644,5.88,3.954
29793,4.86,4.62,5.89
29944,5.65291666667,5.48666666667,4.07166666667
29976,6.03416666667,5.75916666667,4.58416666667
29994,6.0175,5.45055555556,4.12916666667
30010,5.86058823529,5.53,3.92823529412
30027,6.07548148148,5.65140740741,3.93548148148
30046,6.73,5.87,4.67333333333
30068,6.31375,5.825,4.133125
30138,6.97285714286,6.22714285714,4.57
30232,6.81,6.23333333333,4.51
30246,6.23428571429,5.69285714286,3.87571428571
30292,7.155,6.2175,5.2425
30348,5.42705882353,5.20411764706,4.09588235294
30388,6.32882352941,5.62823529412,3.69352941176
30409,6.32882352941,5.62823529412,3.69352941176
30420,5.92724137931,5.66413793103,4.14172413793
30454,6.74444444444,6.07777777778,4.10555555556
30509,6.59714285714,5.62571428571,4.43428571429
30663,5.87,5.575,3.96375
30801,6.128,5.162,3.888
30860,5.78777777778,5.63111111111,3.83333333333
30872,7.175,6.62,4.365
30948,6.092,6.076,4.114
30997,6.57571428571,6.06285714286,4.21714285714
31067,6.49315789474,5.93578947368,4.24
31083,6.03416666667,5.75916666667,4.58416666667
31174,5.72473684211,5.35789473684,4.35684210526
31267,6.59,5.595,4.5425
31297,6.525,5.79666666667,4.175
31329,6.53833333333,5.80166666667,4.46833333333
31370,6.635,5.89875,4.59
31419,6.26611111111,5.94111111111,4.20777777778
31432,6.29,6.25833333333,4.48166666667
31541,6.44,5.48166666667,4.11833333333
31551,5.69,4.41,3.0
31640,6.68,6.07666666667,4.23833333333
31686,5.76571428571,5.61285714286,4.34571428571
31754,6.44736842105,5.90526315789,3.97052631579
32025,6.04794117647,5.81911764706,4.3068627451
32035,6.77705882353,6.14,4.90352941176
32054,6.3405,5.89425,3.99575
32082,5.92724137931,5.66413793103,4.14172413793
32168,5.93045045045,5.64765765766,4.0790990991
32219,7.09,6.42,4.725
32262,6.28166666667,5.7,4.275
32418,6.32371428571,6.098,4.19114285714
32503,5.65909090909,5.59727272727,4.14
32584,6.89,5.9,3.55
32658,6.59833333333,6.04666666667,4.58833333333
32665,5.77,5.33333333333,4.03666666667
32747,6.21,5.0,3.115
32790,6.31472222222,5.92583333333,4.19222222222
32867,5.325,5.535,4.325
32872,7.055,6.2,5.0025
32900,6.25928571429,5.775,4.34714285714
32907,6.79181818182,5.93545454545,3.93636363636
32983,5.025,6.875,4.44
32990,5.99243243243,5.92810810811,4.48324324324
32996,5.78923076923,5.53,3.62538461538
33007,6.38105263158,5.99473684211,4.11263157895
33088,7.545,5.47,4.76
33100,6.010625,5.494375,4.1425
33107,6.47416666667,5.98833333333,4.11666666667
33137,6.22409090909,5.92242424242,4.25409090909
33175,6.41619047619,5.88047619048,4.03380952381
33181,5.3625,4.715,4.255
33190,5.63518518519,5.48333333333,4.04222222222
33239,6.005,5.6325,3.415
33299,7.11,6.55142857143,4.99071428571
33308,6.00692307692,5.78,3.88846153846
33312,6.06452380952,5.93357142857,4.18238095238
33337,6.51822580645,6.00032258065,4.13016129032
33375,6.32882352941,5.62823529412,3.69352941176
33437,6.89428571429,5.80857142857,4.47714285714
33620,5.494,4.945,3.721
33764,6.34416666667,5.78333333333,3.84083333333
33928,7.11,6.55142857143,4.99071428571
33945,6.30666666667,5.79666666667,3.94333333333
33951,6.68,5.22,3.57
33988,6.34674074074,5.81185185185,4.0202962963
34048,6.27542857143,6.16571428571,4.37057142857
34053,5.85230769231,5.69923076923,4.16692307692
34065,6.695,6.065,4.43625
34093,6.48,5.84,4.26
34127,6.22166666667,5.59166666667,4.35
34246,6.0175,5.82,3.5
34275,5.68583333333,5.39083333333,4.18
34530,6.73909090909,5.94,4.42818181818
34605,5.55041666667,5.71416666667,3.97958333333
34655,6.07909090909,5.63545454545,4.15909090909
34724,6.38916666667,6.02333333333,3.93333333333
34969,6.395,5.724,4.623
34988,5.69933333333,5.57016666667,3.85058333333
35048,6.24717391304,5.95891304348,4.2347826087
35053,5.5504,5.6672,4.376
35054,6.06452380952,5.93357142857,4.18238095238
35056,6.25722222222,5.975,4.385
35058,6.24147058824,6.01882352941,3.93411764706
35130,5.99,5.73,5.20333333333
35192,4.68166666667,5.09166666667,4.99833333333
35246,6.0175,5.82,3.5
35275,6.29333333333,5.66888888889,4.31111111111
35287,6.47083333333,5.91916666667,3.7575
35340,6.44625,5.9275,4.45375
35373,6.503,5.775,4.204
35439,6.67,4.94,4.97
35531,6.65375,5.56875,4.025
35710,7.5,6.55,5.785
35781,6.50388888889,5.87722222222,4.35777777778
35862,6.025,5.4225,4.1725
35886,6.49166666667,5.92166666667,4.28833333333
36046,6.145,5.67,3.78833333333
36048,6.10461538462,5.70423076923,4.19384615385
36056,6.25666666667,5.82083333333,3.96166666667
36058,6.14058823529,5.71823529412,3.99411764706
36084,4.79444444444,4.89888888889,4.64111111111
36114,6.59661290323,5.97225806452,4.30322580645
36246,6.0175,5.82,3.5
36374,6.503,5.775,4.204
36405,7.11,6.55142857143,4.99071428571
36411,6.12555555556,5.71333333333,4.43222222222
36419,6.48666666667,6.14833333333,4.41416666667
36424,6.26,5.84,2.9
36510,5.98333333333,5.79633333333,4.15866666667
36523,6.20642857143,5.84964285714,4.22214285714
36553,6.21,5.53875,3.9475
36564,5.5504,5.6672,4.376
36587,6.54325,5.97775,4.151
36600,6.00692307692,5.78,3.88846153846
36609,5.67,4.85,4.335
36614,5.74636363636,5.62454545455,4.15272727273
36617,6.754,5.802,5.21
36640,6.63,5.70090909091,4.0
36718,6.24333333333,5.73333333333,3.98333333333
36734,6.50166666667,6.03333333333,3.895
36778,6.83181818182,6.17272727273,4.10818181818
36792,6.53375,5.778125,3.885625
36796,6.7525,5.79833333333,4.86583333333
36864,5.62,6.02933333333,4.13133333333
36907,5.69625,5.455,3.89
36935,6.41761904762,5.89314285714,4.27780952381
36973,6.18,5.375,3.905
36989,6.92555555556,6.11555555556,4.24555555556
37008,6.64833333333,5.67166666667,4.37416666667
37011,6.00692307692,5.78,3.88846153846
37012,7.11,6.55142857143,4.99071428571
37070,6.515,6.26,5.105
37123,6.18125,5.88,4.242
37140,6.87857142857,5.84857142857,4.49571428571
37188,6.46833333333,5.91,4.26166666667
37214,6.82571428571,5.95857142857,4.14285714286
37235,5.80810810811,5.62531531532,3.94531531532
37271,5.43444444444,5.00277777778,4.49666666667
37273,6.488,5.928,4.15
37322,5.53,5.2,4.62
37345,6.66875,6.15125,3.8475
37352,6.19888888889,5.89569444444,3.98111111111
37439,6.26032258065,5.60903225806,4.05483870968
37571,7.11,6.55142857143,4.99071428571
37594,7.15733333333,6.354,4.38666666667
37646,5.525,4.78,4.67
37659,6.75,5.64,3.525
37665,6.7475,5.8575,3.8675
37681,6.58615384615,6.62153846154,4.33769230769
37712,5.655,5.67,4.58
38048,6.19571428571,5.65714285714,4.11857142857
38084,6.015,5.6975,3.855
38126,4.0525,4.04,5.335
38161,5.92428571429,5.63714285714,3.78
38179,6.27625,5.655625,4.43125
38260,4.65,5.44,4.78
38342,5.92727272727,5.71818181818,4.09181818182
38344,7.11153846154,6.32076923077,4.76230769231
38351,6.19888888889,5.89569444444,3.98111111111
38367,6.47,5.68,3.575
38370,6.328,5.972,4.604
38429,5.67,5.45,5.805
38438,6.21732394366,5.89830985915,3.98873239437
38513,6.00333333333,5.80523809524,3.98333333333
38522,6.93,6.135,4.24
38532,6.388,5.692,3.434
38533,6.64571428571,6.02714285714,4.51857142857
38536,5.746,5.492,3.63
38599,7.15733333333,6.354,4.38666666667
38658,6.91,5.92,4.04
38714,6.93,5.71,5.5025
38805,6.97,5.77888888889,4.52
38932,6.27542857143,6.16571428571,4.37057142857
38994,4.996,5.356,3.74
39047,6.00571428571,5.94142857143,4.57428571429
39083,7.08142857143,5.88857142857,4.76
39350,5.79101694915,5.55593220339,4.08728813559
39363,6.76,5.68,3.58
39591,7.15733333333,6.354,4.38666666667
39674,6.2275,5.86083333333,3.71666666667
39878,7.16,5.53,4.97
39939,4.93666666667,4.62333333333,4.18
40082,6.02833333333,5.84333333333,4.15166666667
40088,7.10333333333,6.63,4.24333333333
40345,5.504,5.498,3.988
40415,6.055,5.52375,4.2125
40424,6.78571428571,5.69857142857,4.15857142857
40445,6.48,5.13,5.69
40548,6.17333333333,5.63133333333,4.24066666667
40629,6.825,5.885,4.6675
40657,6.1147826087,5.77043478261,4.04913043478
40936,6.19571428571,5.65714285714,4.11857142857
41144,,,
41145,6.1465625,5.9871875,3.6990625
41185,6.9225,5.90625,4.6875
41204,5.5504,5.6672,4.376
41301,5.855,5.1275,4.82
41318,6.44,5.63,4.31
41353,6.585,5.65,3.9225
41466,6.02142857143,5.33,4.29571428571
41602,7.42,6.584,4.856
41651,5.54,5.3975,4.33
41760,5.95875,5.665,4.3325
